,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
88,274315,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
89,274316,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
90,274317,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
91,274319,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
92,274335,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
93,274336,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
94,274337,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
95,274338,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
96,274338,38,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
97,274339,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
99,274344,6,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
100,274344,35,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
101,274344,398,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
102,274345,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
103,274382,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
104,274387,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
105,274388,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
106,274388,756,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
107,274388,1755,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
108,274420,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
109,274421,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
110,274422,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
111,274422,363,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
112,274422,1159,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
113,274422,1734,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
114,274440,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
115,274441,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
116,274441,333,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
117,274442,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
118,274954,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
119,274954,31,5,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
120,274955,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
121,274968,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
122,274968,8,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
123,274968,270,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
124,274968,277,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
125,274968,314,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
126,274969,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
127,274969,115,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
128,274970,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
129,274971,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
130,274998,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
131,274998,61,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
132,274999,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
133,274999,218,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
134,275000,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
135,275001,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
136,275001,1086,4,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
137,275059,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
138,275059,67,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
139,275059,89,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
140,275066,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
141,275067,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
142,275067,288,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
143,275068,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
144,275068,826,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
145,275073,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
146,275073,8,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
147,275074,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
148,275124,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
149,275124,85,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
150,275124,309,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
151,275125,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
152,275125,757,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
153,275282,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
154,275282,141,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
155,275283,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
156,275284,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
157,275290,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
158,275291,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
159,275291,278,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
160,275292,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
161,275293,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
162,275309,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
163,275309,380,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
164,275310,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
165,275310,1932,4,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
166,275311,1,4,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
167,275319,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
168,275319,142,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
169,275319,280,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
170,275337,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
171,275338,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
172,275338,256,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
173,275344,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
174,275344,77,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
175,275345,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
176,275370,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
177,275370,65,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
178,275371,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
179,275371,36,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
180,275375,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
181,275375,81,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
182,275375,250,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
183,275375,1181,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
184,275376,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
185,275376,1971,4,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
186,275376,3014,5,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
187,275657,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
188,275657,9,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
189,275657,49,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
190,275658,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
191,275658,211,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
192,275658,232,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
193,275659,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
194,275761,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
195,275767,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
196,275772,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
197,275773,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
198,275774,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
199,275774,232,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
200,275776,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
201,275777,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
202,275778,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
203,275782,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
204,275782,4,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
205,275832,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
206,275832,202,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
207,275833,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
208,275834,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
209,275834,170,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
210,275835,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
211,275836,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
212,275836,769,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
213,275837,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
214,275847,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
215,275847,671,4,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
216,275886,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
217,275886,8,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
218,275886,22,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
219,275886,25,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
220,275886,69,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
221,275890,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
222,275890,9,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
223,275890,504,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
224,275911,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
225,275911,259,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
226,275912,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
227,275912,261,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
228,275913,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
229,275918,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
230,275920,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
231,275920,13,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
232,275921,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
