Unnamed: 0,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
94,316201,1.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
95,316201,145.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
96,316202,1.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
97,316202,126.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
98,316216,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
99,316216,234.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
100,316217,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
101,316217,189.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
102,316218,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
103,316218,190.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
104,316218,547.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
105,316218,929.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
106,316218,935.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
107,316218,962.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
108,316219,1.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
109,316239,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
110,316239,199.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
111,316239,563.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
112,316240,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
113,316240,19.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
114,316240,38.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
115,316240,155.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
116,316240,473.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
117,316240,1155.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
118,316241,1.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
119,316271,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
120,316361,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
121,316361,53.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
122,316362,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
123,316362,7.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
124,316362,238.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
125,316363,1.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
126,316363,49.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
127,316377,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
128,316378,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
129,316379,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
130,316380,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
131,316380,57.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
132,316380,319.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
133,316380,391.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
134,316380,607.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
135,316380,1002.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
136,316455,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
137,316455,68.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
138,316457,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
139,316457,12.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
140,316457,19.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
141,316457,130.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
142,316457,143.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
143,316457,154.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
144,316457,161.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
145,316457,416.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
