,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
136,392668,105,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
137,392668,111,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
138,392668,135,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
139,392669,1,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
140,392669,5,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
141,392669,7,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
142,392669,11,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
143,392669,100,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
144,392669,106,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
145,392669,1180,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
146,392669,1310,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
147,392669,1399,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
148,392669,1632,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
149,392672,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
150,392672,7,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
151,392672,18,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
152,392672,60,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
153,392672,76,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
154,392672,116,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
155,392672,1134,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
156,392672,1204,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
157,392672,1456,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
158,392672,1643,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
159,392676,1,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
160,392700,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
161,392700,3,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
162,392700,76,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
163,392700,83,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
164,392700,99,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
165,392700,104,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
166,392700,188,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
167,392700,206,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
168,392700,375,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
169,392705,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
170,392705,6,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
171,392705,193,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
172,392705,199,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
173,392710,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
174,392710,4,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
175,392710,23,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
176,392710,69,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
177,392710,746,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
178,392710,760,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
179,392710,1131,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
180,392710,1158,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
181,392710,1184,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
182,392710,1228,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
183,392710,1307,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
184,392710,1454,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
185,392732,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
186,392733,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
187,392733,447,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
188,392733,519,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
189,392733,551,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
190,392733,554,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
191,392733,740,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
192,392733,914,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
193,392751,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
194,392751,3,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
195,392751,22,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
196,392751,67,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
197,392787,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
198,392787,47,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
199,392787,50,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
200,392925,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
201,392925,22,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
202,392925,70,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
203,392925,88,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
204,392925,120,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
205,392925,1358,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
206,392925,1469,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
207,392925,1659,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
208,392925,1855,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
209,392925,1877,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
210,392925,1915,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
211,392959,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
212,392959,1161,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
213,392959,1253,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
214,392959,1486,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
215,392959,1585,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
216,392991,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
217,392991,3,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
218,392991,20,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
219,392991,68,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
220,392991,1352,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
221,392991,1415,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
222,392993,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
223,392993,4,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
224,392993,185,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
225,392993,189,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
226,392993,333,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
227,392997,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
228,392997,1245,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
229,392997,1349,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
230,392997,1565,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
231,392997,1720,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
232,393015,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
233,393015,24,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
234,393015,67,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
235,393071,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
236,393071,4,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
237,393085,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
238,393085,2,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
239,393085,20,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
